#id,fold_cands_filename,f0_new,f1_new,p0_new,p1_new,dm_new,S/N_new,p0_old,dm_old,acc,nh,S/N,ddm_count_ratio,ddm_snr_ratio,nassoc,cand_id_in_file,search_candidates_database_uuid,p1_old,f0_old,f1_old
12,RESULTS/J2140-2310B/2022-06-29-20:06:23/ptuse/03_FOLDING/J2140-2310B_Peasoup_fold_candidate_id_12_2.93ms_Cand.pfd,341.8036679743753,-1.8454344337808653e-15,0.0029256561403401002,2.15601638817058e-10,26.098,4.3,0.00292608605539793,25.0,21.4041843414307,1,8.54318332672119,1.0,1.0,0,11,d0aa208a-fe3e-4d9a-a323-1448a01ae537,2.0891281170464635e-10,341.7534484863283,-1.788707232744701e-15
13,RESULTS/J2140-2310B/2022-06-29-20:06:23/ptuse/03_FOLDING/J2140-2310B_Peasoup_fold_candidate_id_13_1.45ms_Cand.pfd,690.6650036926958,4.194598758613092e-18,0.0014478799340540201,-2.00089972860885e-12,24.978,3.8,0.00144788062761525,25.0300006866455,0.0213257670402527,0,8.52435874938965,1.0,1.0,1,12,f6e49259-c50b-41d7-b705-26e4db24f642,1.0299513594373909e-13,690.6646728515614,-2.159147093130519e-19
14,RESULTS/J2140-2310B/2022-06-29-20:06:23/ptuse/03_FOLDING/J2140-2310B_Peasoup_fold_candidate_id_14_5.31ms_Cand.pfd,188.1980739424481,-2.397230462588667e-15,0.00531355065995949,8.49063431831081e-11,23.705,5.0,0.00531378976119244,25.0300006866455,6.61942577362061,0,8.35338497161865,1.0,1.0,4,13,eee979fb-6167-4d21-86cd-2fa662e1ee96,1.173286250611366e-10,188.18960571289054,-3.3129334863256422e-15
15,RESULTS/J2140-2310B/2022-06-29-20:06:23/ptuse/03_FOLDING/J2140-2310B_Peasoup_fold_candidate_id_15_1.38ms_Cand.pfd,722.5284191072087,1.3267811911667087e-16,0.0013840286050417901,-6.92642560321877e-11,24.403,4.6,0.00138388839359056,25.0,-15.1718873977661,1,8.35331630706787,1.0,1.0,0,14,23de3031-3395-4497-b827-074047844305,-7.003578081551136e-11,722.6016235351576,1.341288215385845e-16
16,RESULTS/J2140-2310B/2022-06-29-20:06:23/ptuse/03_FOLDING/J2140-2310B_Peasoup_fold_candidate_id_16_4.06ms_Cand.pfd,246.05935799907664,-1.357309353491246e-15,0.00406406002247536,8.21785766645189e-11,23.884,4.7,0.00406419966968455,25.0799999237061,5.03898572921753,0,8.3454475402832,1.0,1.0,2,15,fa147d3f-eb47-47f5-a628-754d48c5db7c,6.83120725346301e-11,246.0509033203127,-1.1283596153649668e-15
17,RESULTS/J2140-2310B/2022-06-29-20:06:23/ptuse/03_FOLDING/J2140-2310B_Peasoup_fold_candidate_id_17_1.52ms_Cand.pfd,659.0429967638246,1.419775027829228e-16,0.00151735168253121,-6.16661779759664e-11,25.212,4.0,0.00151722528535948,25.0200004577637,-12.5219326019287,0,8.32313537597656,1.0,1.0,0,16,de827785-0b98-45d7-823b-91f13a14a382,-6.337248405766582e-11,659.0979003906249,1.4588171977386987e-16
18,RESULTS/J2140-2310B/2022-06-29-20:06:23/ptuse/03_FOLDING/J2140-2310B_Peasoup_fold_candidate_id_18_0.95ms_Cand.pfd,1052.370320790659,-6.737782536318893e-19,0.0009502358440217959,7.46198158464855e-13,24.706,4.0,0.000950236248311394,25.0900001525879,0.0924785733222961,0,8.32180118560791,1.0,1.0,1,17,8e800101-de29-4391-9bb6-54e10245847f,2.931244273095383e-13,1052.3698730468745,-2.64676387293952e-19
19,RESULTS/J2140-2310B/2022-06-29-20:06:23/ptuse/03_FOLDING/J2140-2310B_Peasoup_fold_candidate_id_19_3.27ms_Cand.pfd,306.0977892917493,6.480787897273588e-16,0.00326692983413505,-6.07222973538208e-11,25.01,4.2,0.00326681465432758,25.0799999237061,-5.538818359375,1,8.30430316925049,1.0,1.0,4,18,21e2a8bb-dc94-467f-aa7c-26609b5dc969,-6.035606467479877e-11,306.108581542969,6.441246291211814e-16
20,RESULTS/J2140-2310B/2022-06-29-20:06:23/ptuse/03_FOLDING/J2140-2310B_Peasoup_fold_candidate_id_20_6.15ms_Cand.pfd,162.49632040142205,2.6002941307086877e-15,0.00615398550274649,-6.86609073116925e-11,26.166,7.9,0.00615384962093391,25.0599994659424,-3.57635450363159,2,8.28169059753418,1.0,1.0,2,19,1d53f287-8d8f-41e9-9094-211ae63202ba,-7.341194622880919e-11,162.49990844726554,2.780100504602962e-15
21,RESULTS/J2140-2310B/2022-06-29-20:06:23/ptuse/03_FOLDING/J2140-2310B_Peasoup_fold_candidate_id_21_3.11ms_Cand.pfd,321.0662624443806,-2.6387333945420948e-17,0.00311462186150198,2.72009992302645e-12,25.552,4.5,0.00311460092749865,25.0699996948242,-0.592108845710754,0,8.2661304473877,1.0,1.0,0,20,21634693-c288-45fd-98c0-11e4ae497677,-6.151531537297276e-12,321.06842041015653,5.967440150958306e-17
