snr,period,dm,acc,nh,ddm_count_ratio,ddm_snr_ratio,nassoc,search_uuid,xml_file,candidate_id_in_file,num_related,related_cands
8.52208328,0.00170110529274865,123.00000000,0.20628452,0,1.00000000,1.00000000,1,2,54d3d696-481e-4de7-9da0-52f5ae16fca9,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_13/a3/15abdc2e1aaecda9e64ebba234a44b/output.xml,9,1,2d8f16d2-b694-4faa-8d3f-2510ca284c09
8.09085274,0.00271266991025871,118.00000000,0.93935704,0,1.00000000,1.00000000,0,3,037212d6-eb84-4d7e-9931-d462c77d1e3a,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_12/36/61a01bdc5d1b170436daea7277d8da/output.xml,37,1,84cd6982-6aa0-4623-b285-fcaa76765b09
8.05526638,0.00156763507170132,118.50000000,-0.87644392,0,1.00000000,1.00000000,1,2,34b43c97-fbdb-4855-bc0d-7c7d03685a1f,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_12/36/61a01bdc5d1b170436daea7277d8da/output.xml,38,1,7b243396-b696-4a32-bcfc-260b4dc126b1
8.26018047,0.00534361309162377,121.50000000,0.89079440,0,1.00000000,1.00000000,6,5,0d1bbfb9-df87-4acc-a76b-68d0edc72359,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_12/36/61a01bdc5d1b170436daea7277d8da/output.xml,23,0,
8.05538273,0.00094765271443159,123.50000000,-2.72067714,0,1.00000000,1.00000000,0,1,1e16755b-728a-43bd-b343-9cb7c3d55ac9,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_13/a3/15abdc2e1aaecda9e64ebba234a44b/output.xml,28,0,
21.20322037,0.17999948158413501,114.00000000,1.81174517,3,1.00000000,1.00000000,1204,180,eabb5c74-d031-4029-8992-48bcf22a3e20,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_12/36/61a01bdc5d1b170436daea7277d8da/output.xml,2,0,
8.21790504,0.00968227379784885,123.50000000,2.40779901,0,1.00000000,1.00000000,2,10,7d1f168e-2040-4f29-97a7-6146926524ab,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_13/a3/15abdc2e1aaecda9e64ebba234a44b/output.xml,22,0,
10.07900524,0.00174518991615973,110.50000000,0.37870467,2,1.00000000,1.00000000,0,2,787e6459-9181-4ac8-bb3e-d9d04b45dc61,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_13/a3/15abdc2e1aaecda9e64ebba234a44b/output.xml,3,0,
8.21969604,0.00345679606232445,112.00000000,4.81963634,0,1.00000000,1.00000000,1,3,6851e8d3-3d7c-4fe7-8424-bcb877970381,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_12/36/61a01bdc5d1b170436daea7277d8da/output.xml,24,0,
8.22628880,0.00141097897345079,120.50000000,0.63686931,0,1.00000000,1.00000000,1,1,828b4db7-ac0f-4f03-b328-75f7ff6e41a5,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_13/a3/15abdc2e1aaecda9e64ebba234a44b/output.xml,21,0,
8.25207138,0.00114498914203107,112.00000000,-0.66525316,0,1.00000000,1.00000000,0,1,295a197a-7cc0-470e-97e9-94cd72e1a226,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_13/a3/15abdc2e1aaecda9e64ebba234a44b/output.xml,20,0,
8.35043907,0.00517647330166124,121.00000000,4.18211031,0,1.00000000,1.00000000,5,5,00ccbbed-a446-4dcc-80a5-68c21a8c1ee8,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_13/a3/15abdc2e1aaecda9e64ebba234a44b/output.xml,15,0,
8.26173782,0.00233966530962080,124.00000000,1.81174517,0,1.00000000,1.00000000,0,2,946368d7-a439-4d9d-b8c8-06ae0e885b3a,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_13/a3/15abdc2e1aaecda9e64ebba234a44b/output.xml,18,0,
9.34538269,0.00130889236740954,110.50000000,-0.38968176,2,1.00000000,1.00000000,0,1,87b95e0a-6ffb-4990-ac6e-4981fa7361c2,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_13/a3/15abdc2e1aaecda9e64ebba234a44b/output.xml,4,0,
8.11283112,0.00203615795982540,121.00000000,3.34962296,0,1.00000000,1.00000000,2,2,3955de13-55c8-463b-af9f-57ead7329cde,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_12/36/61a01bdc5d1b170436daea7277d8da/output.xml,35,0,
8.10347748,0.00362509154550946,124.00000000,-0.04600358,0,1.00000000,1.00000000,1,4,accda358-6696-40a1-86a1-00fa664d7846,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_13/a3/15abdc2e1aaecda9e64ebba234a44b/output.xml,24,0,
