target,beam_name,utc_start,filenames,filstr,coherent_dm,subband_dm,hardware_name,beam_type,bf_reference_freq,bf_ra,bf_dec,bf_utc,bf_sub_array,bf_tiling_method,bf_tiling_shape,bf_overlap,beam_shape_x,beam_shape_y,beam_shape_angle
M28,cfbf00788,2024-02-16-11:31:52,/b/PROCESSING/02_FILTERBANKS/M28/2024-02-16-11:31:52/0/idm_00119.000_cb_00788_2024-02-16-11:31:52_0_00120.000_0000000000000000.fil /b/PROCESSING/02_FILTERBANKS/M28/2024-02-16-11:31:52/0/idm_00119.000_cb_00788_2024-02-16-11:31:52_0_00120.000_0000002145386496.fil /b/PROCESSING/02_FILTERBANKS/M28/2024-02-16-11:31:52/0/idm_00119.000_cb_00788_2024-02-16-11:31:52_0_00120.000_0000004290772992.fil,idm_00119.000_cb_00788_0_00120.000,120.0,119.0,contra,STOKES_I,1284000000.0,18:24:32.81,-24:52:11.2,2024.02.16 11:46:52.077,000 002 003 004 005 007 008 009 010 011 012 014 015 016 017 018 019 020 021 022 023 024 025 026 027 029 030 031 032 033 034 035 036 037 038 039 040 041 042 043 044 045 046 048 049 050 051 053 054 056 057 058 059 060 061 062 063,variable_size,circle,0.8,0.00144,0.00099,13.96237
M28,cfbf00787,2024-02-16-11:31:52,/b/PROCESSING/02_FILTERBANKS/M28/2024-02-16-11:31:52/0/idm_00119.000_cb_00787_2024-02-16-11:31:52_0_00120.000_0000000000000000.fil /b/PROCESSING/02_FILTERBANKS/M28/2024-02-16-11:31:52/0/idm_00119.000_cb_00787_2024-02-16-11:31:52_0_00120.000_0000002145386496.fil /b/PROCESSING/02_FILTERBANKS/M28/2024-02-16-11:31:52/0/idm_00119.000_cb_00787_2024-02-16-11:31:52_0_00120.000_0000004290772992.fil,idm_00119.000_cb_00787_0_00120.000,110.0,115.0,contra,STOKES_V,1284000000.0,18:24:32.81,-24:52:11.2,2024.02.16 11:46:52.077,000 002 003 004 005 007 008 009 010 011 012 014 015 016 017 018 019 020 021 022 023 024 025 026 027 029 030 031 032 033 034 035 036 037 038 039 040 041 042 043 044 045 046 048 049 050 051 053 054 056 057 058 059 060 061 062 063,variable_size,circle,0.8,0.00144,0.00099,13.96237
M28,cfbf00000,2024-02-16-11:31:52,/b/PROCESSING/02_FILTERBANKS/M28/2024-02-16-11:31:52/0/idm_00120.000_cb_00000_2024-02-16-11:31:52_0_00120.000_0000000000000000.fil /b/PROCESSING/02_FILTERBANKS/M28/2024-02-16-11:31:52/0/idm_00120.000_cb_00000_2024-02-16-11:31:52_0_00120.000_0000002145386496.fil /b/PROCESSING/02_FILTERBANKS/M28/2024-02-16-11:31:52/0/idm_00120.000_cb_00000_2024-02-16-11:31:52_0_00120.000_0000004290772992.fil,idm_00120.000_cb_00000_0_00120.000,120.0,120.0,contra,STOKES_I,1284000000.0,18:24:32.81,-24:52:11.2,2024.02.16 11:46:52.077,000 002 003 004 005 007 008 009 010 011 012 014 015 016 017 018 019 020 021 022 023 024 025 026 027 029 030 031 032 033 034 035 036 037 038 039 040 041 042 043 044 045 046 048 049 050 051 053 054 056 057 058 059 060 061 062 063,variable_size,circle,0.8,0.00144,0.00099,13.96237
M28,cfbf00000,2024-02-16-11:31:52,/b/PROCESSING/02_FILTERBANKS/M28/2024-02-16-11:31:52/0/idm_00118.000_cb_00000_2024-02-16-11:31:52_0_00120.000_0000000000000000.fil /b/PROCESSING/02_FILTERBANKS/M28/2024-02-16-11:31:52/0/idm_00118.000_cb_00000_2024-02-16-11:31:52_0_00120.000_0000002145386496.fil /b/PROCESSING/02_FILTERBANKS/M28/2024-02-16-11:31:52/0/idm_00118.000_cb_00000_2024-02-16-11:31:52_0_00120.000_0000004290772992.fil,idm_00118.000_cb_00000_0_00120.000,120.0,118.0,contra,STOKES_I,1284000000.0,18:24:32.81,-24:52:11.2,2024.02.16 11:46:52.077,000 002 003 004 005 007 008 009 010 011 012 014 015 016 017 018 019 020 021 022 023 024 025 026 027 029 030 031 032 033 034 035 036 037 038 039 040 041 042 043 044 045 046 048 049 050 051 053 054 056 057 058 059 060 061 062 063,variable_size,circle,0.8,0.00144,0.00099,13.96237
